date,time,ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags,source_file
2025-06-23,14:06:02,444.0,2.19,2.44e-07,193.0,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:03,445.0,2.2,2.5e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:04,444.0,2.19,2.44e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:05,445.0,2.2,2.5e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:06,444.0,2.19,2.44e-07,193.0,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:07,444.0,2.19,2.44e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:10,444.0,2.19,2.44e-07,195.0,0.964,0.00106,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:11,444.0,2.19,2.44e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:16,445.0,2.2,2.5e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:06:17,444.0,2.19,2.44e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:07:36,444.0,2.19,2.44e-07,193.0,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:07:37,444.0,2.19,2.44e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:07:38,444.0,2.19,2.44e-07,193.0,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:07:39,444.0,2.19,2.44e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:07:40,444.0,2.19,2.44e-07,193.0,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:07:41,444.0,2.19,2.44e-07,194.0,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:09:42,444.0,2.19,2.44e-07,193.0,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:11:52,445.0,2.2,2.5e-07,192.0,0.949,0.000983,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:11:53,444.0,2.19,2.44e-07,193.0,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
2025-06-23,14:11:54,444.0,2.19,2.44e-07,192.0,0.949,0.000983,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv
