ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,source_file,tags,tag_list,tag_IG_on,tag_IG_off,tag_IG_fail,tag_IG_turn_on,tag_IG_slow_on,tag_CG_on,IG_state,CG_state
0.0,1.0,1.0,1.0,1.0,1.0,arduino_data_log20250625_134436.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
4.0,4.0,4.0,4.0,4.0,4.0,arduino_data_log20250625_134436.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
5.0,5.0,5.0,5.0,5.0,5.0,arduino_data_log20250625_134436.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
249.0,1.230396,2.889293e-09,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
488.0,2.411378,6.64901e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
474.0,2.342199,4.835026e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
450.0,2.223607,2.800362e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
449.0,2.218666,2.737355e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
449.0,2.218666,2.737355e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
448.0,2.213724,2.675771e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
447.0,2.208783,2.615567e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
446.0,2.203842,2.556724e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
448.0,2.213724,2.675771e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
446.0,2.203842,2.556724e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
445.0,2.1989,2.499197e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
444.0,2.193959,2.442969e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
444.0,2.193959,2.442969e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
445.0,2.1989,2.499197e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
444.0,2.193959,2.442969e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
444.0,2.193959,2.442969e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
443.0,2.189018,2.388006e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
444.0,2.193959,2.442969e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
443.0,2.189018,2.388006e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
443.0,2.189018,2.388006e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
443.0,2.189018,2.388006e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
443.0,2.189018,2.388006e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_151829.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,190.0,0.9388564,0.000936695,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
442.0,2.184076,2.334279e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,191.0,0.9437977,0.0009593458,arduino_data_log20250702_154205.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
445.0,2.1989,2.499197e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
445.0,2.1989,2.499197e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
