datetime,voltage_ion,pressure_ion,voltage_conv,pressure_conv,tags,IC_unplugged,CC_unplugged,tag_list,tag_IG_on,tag_IG_off,tag_IG_fail,tag_IG_turn_on,tag_IG_turn_off,tag_IG_slow_on,tag_CG_on,tag_CG_off,tag_CG_turn_off,tag_CG_turn_on,tag_gate_manipulation,tag_RP_on,tag_chamber_open,tag_venting,IG_state,CG_state,CH_state,anomaly_if_ion,score_if_raw_ion,score_if_ion,anomaly_if_conv,score_if_raw_conv,score_if_conv,anomaly_if,score_if_raw,score_if
2025-07-02 15:50:36,2.2,2.5e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.2348133011424151,-0.2348133011424151,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-02 15:51:06,2.2,2.5e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.2348133011424151,-0.2348133011424151,1,0.24851725622686638,-0.24851725622686638,1,0.2348133011424151,-0.2348133011424151
2025-07-02 15:51:36,2.2,2.5e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.2348133011424151,-0.2348133011424151,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-02 15:53:36,,,0.959,0.00103,"IG turn off, CG on",True,False,"['IG turn off', 'CG on']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,IG turn off,CG on,CH normal,1,0.0,-0.0,1,0.20633100693148065,-0.20633100693148065,1,0.0,-0.0
2025-07-02 15:57:06,,,0.959,0.00103,"IG off, CG on",True,False,"['IG off', 'CG on']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,IG off,CG on,CH normal,1,0.0,-0.0,1,0.20633100693148065,-0.20633100693148065,1,0.0,-0.0
2025-07-02 15:57:36,1.25,3.09e-09,0.959,0.00103,"IG turn on, CG on",False,False,"['IG turn on', 'CG on']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,IG turn on,CG on,CH normal,-1,-0.000720706546174843,0.000720706546174843,1,0.20633100693148065,-0.20633100693148065,-1,-0.000720706546174843,0.000720706546174843
2025-07-02 15:57:38,2.24,3.07e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.12734411738909013,-0.12734411738909013,1,0.20633100693148065,-0.20633100693148065,1,0.12734411738909013,-0.12734411738909013
2025-07-02 15:57:40,2.2,2.5e-07,0.964,0.00106,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.2348133011424151,-0.2348133011424151,-1,-0.00823441768024491,0.00823441768024491,-1,-0.00823441768024491,0.00823441768024491
2025-07-02 15:57:42,2.19,2.39e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24348662985673325,-0.24348662985673325,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-02 15:58:42,2.2,2.5e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.2348133011424151,-0.2348133011424151,1,0.24851725622686638,-0.24851725622686638,1,0.2348133011424151,-0.2348133011424151
