voltage_ion,pressure_ion,voltage_conv,pressure_conv,tags,source_file,tag_list,tag_IG_on,tag_IG_off,tag_IG_fail,tag_IG_turn_on,tag_IG_slow_on,tag_CG_on,tag_CG_off,tag_CG_turn_off,tag_CG_turn_on,IG_state,CG_state,anomaly_if,score_if_raw,score_if
2.19,2.44e-07,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.49135022631938635,-0.49135022631938635
2.2,2.5e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4614266415219355,-0.4614266415219355
2.19,2.44e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4615870378061416,-0.4615870378061416
2.2,2.5e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4614266415219355,-0.4614266415219355
2.19,2.44e-07,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.49135022631938635,-0.49135022631938635
2.19,2.44e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4615870378061416,-0.4615870378061416
2.19,2.44e-07,0.964,0.00106,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.35913292486447157,-0.35913292486447157
2.19,2.44e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4615870378061416,-0.4615870378061416
2.2,2.5e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4614266415219355,-0.4614266415219355
2.19,2.44e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4615870378061416,-0.4615870378061416
2.19,2.44e-07,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.49135022631938635,-0.49135022631938635
2.19,2.44e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4615870378061416,-0.4615870378061416
2.19,2.44e-07,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.49135022631938635,-0.49135022631938635
2.19,2.44e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4615870378061416,-0.4615870378061416
2.19,2.44e-07,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.49135022631938635,-0.49135022631938635
2.19,2.44e-07,0.959,0.00103,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.4615870378061416,-0.4615870378061416
2.19,2.44e-07,0.954,0.00101,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.49135022631938635,-0.49135022631938635
2.2,2.5e-07,0.949,0.000983,"IG on, CG on",arduino_data_log20250623_140602_e-gun-cathode-replaced.csv,"['IG on', 'CG on']",1,0,0,0,0,1,0,0,0,IG on,CG on,1,0.43668048337576854,-0.43668048337576854
