ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags,delta_ion,delta_conv,log_pressure_ion,log_pressure_conv,delta_log_ion,delta_log_conv
432.0,2.13,1.86e-07,194,0.959,0.00103,"IG on, CG on",,,-15.49751916323321,-6.878196476740593,,
432.0,2.13,1.86e-07,194,0.959,0.00103,"IG on, CG on",0.0,0.0,-15.49751916323321,-6.878196476740593,0.0,0.0
434.0,2.14,1.95e-07,193,0.954,0.00101,"IG on, CG on",9.000000000000014e-09,-2.0000000000000052e-05,-15.450266278382664,-6.897804948128969,0.047252884850546906,-0.01960847138837618
434.0,2.14,1.95e-07,194,0.959,0.00103,"IG on, CG on",0.0,2.0000000000000052e-05,-15.450266278382664,-6.878196476740593,0.0,0.01960847138837618
432.0,2.13,1.86e-07,231,1.14,0.00249,"IG on, CG on",-9.000000000000014e-09,0.00146,-15.49751916323321,-5.995472568505521,-0.047252884850546906,0.8827239082350715
432.0,2.13,1.86e-07,193,0.954,0.00101,"IG on, CG on",0.0,-0.00148,-15.49751916323321,-6.897804948128969,0.0,-0.9023323796234477
432.0,2.13,1.86e-07,193,0.954,0.00101,"IG on, CG on",0.0,0.0,-15.49751916323321,-6.897804948128969,0.0,0.0
432.0,2.13,1.86e-07,250,1.24,0.00393,"IG on, CG on",0.0,0.0029200000000000003,-15.49751916323321,-5.539115853100967,0.0,1.3586890950280015
433.0,2.14,1.9e-07,193,0.954,0.00101,"IG on, CG on",4.000000000000009e-09,-0.0029200000000000003,-15.476241764785925,-6.897804948128969,0.02127739844728538,-1.3586890950280015
432.0,2.13,1.86e-07,194,0.959,0.00103,"IG on, CG on",-4.000000000000009e-09,2.0000000000000052e-05,-15.49751916323321,-6.878196476740593,-0.02127739844728538,0.01960847138837618
431.0,2.13,1.82e-07,193,0.954,0.00101,"IG on, CG on",-4.000000000000009e-09,-2.0000000000000052e-05,-15.519259149869615,-6.897804948128969,-0.02173998663640475,-0.01960847138837618
431.0,2.13,1.82e-07,193,0.954,0.00101,"IG on, CG on",0.0,0.0,-15.519259149869615,-6.897804948128969,0.0,0.0
431.0,2.13,1.82e-07,252,1.25,0.00412,"IG on, CG on",0.0,0.0031100000000000004,-15.519259149869615,-5.491902115620702,0.0,1.405902832508267
431.0,2.13,1.82e-07,193,0.954,0.00101,"IG on, CG on",0.0,-0.0031100000000000004,-15.519259149869615,-6.897804948128969,0.0,-1.405902832508267
431.0,2.13,1.82e-07,193,0.954,0.00101,"IG on, CG on, IG fail",0.0,0.0,-15.519259149869615,-6.897804948128969,0.0,0.0
,,,193,0.954,0.00101,"IG fail, IG off, CG on",,0.0,,-6.897804948128969,,0.0
,,,207,1.02,0.00141,"IG off, CG on",,0.00039999999999999996,,-6.56416557459206,,0.33363937353690876
,,,193,0.954,0.00101,"IG off, CG on",,-0.00039999999999999996,,-6.897804948128969,,-0.33363937353690876
,,,193,0.954,0.00101,"IG off, CG on",,0.0,,-6.897804948128969,,0.0
,,,248,1.23,0.00375,"IG off, CG on",,0.00274,,-5.585999438999818,,1.311805509129151
,,,193,0.954,0.00101,"IG off, CG on",,-0.00274,,-6.897804948128969,,-1.311805509129151
,,,193,0.954,0.00101,"IG off, CG on",,0.0,,-6.897804948128969,,0.0
,,,252,1.25,0.00412,"IG off, CG on",,0.0031100000000000004,,-5.491902115620702,,1.405902832508267
,,,193,0.954,0.00101,"IG off, CG on",,-0.0031100000000000004,,-6.897804948128969,,-1.405902832508267
,,,193,0.954,0.00101,"IG off, CG on",,0.0,,-6.897804948128969,,0.0
255.0,1.26,3.31e-09,193,0.954,0.00101,"IG turn on, CG on",,0.0,-19.52631764755744,-6.897804948128969,,0.0
