date,time,ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags
2025-07-14,15:37:17,437,2.16E+00,2.08E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-14,15:37:18,437,2.16E+00,2.08E-07,194,9.59E-01,1.03E-03,"IG on, IG turn off, CG on"
2025-07-14,15:46:47,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:48,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:49,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:50,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:51,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:53,NaN,NaN,NaN,192,9.49E-01,9.83E-04,"IG off, CG on"
2025-07-14,15:46:53,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:54,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:55,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:56,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:46:57,NaN,NaN,NaN,192,9.49E-01,9.83E-04,"IG off, CG on"
2025-07-14,15:46:58,NaN,NaN,NaN,192,9.49E-01,9.83E-04,"IG off, CG on"
2025-07-14,15:46:59,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:00,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:01,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:02,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:03,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:04,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:05,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:06,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:08,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG off, CG on"
2025-07-14,15:47:08,NaN,NaN,NaN,192,9.49E-01,9.83E-04,"IG off, CG on"
2025-07-14,15:47:09,NaN,NaN,NaN,192,9.49E-01,9.83E-04,"IG off, CG on"
2025-07-14,15:47:10,254,1.26E+00,3.24E-09,192,9.49E-01,9.83E-04,"IG turn on, CG on"
2025-07-14,15:47:11,251,1.24E+00,3.02E-09,193,9.54E-01,1.01E-03,"IG turn on, CG on"
2025-07-14,15:47:13,436,2.15E+00,2.04E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-14,15:47:13,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-14,15:48:26,436,2.15E+00,2.04E-07,NaN,NaN,NaN,"IG on, CG turn off"
2025-07-14,15:48:27,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:29,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:29,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:30,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:31,436,2.15E+00,2.04E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:32,436,2.15E+00,2.04E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:33,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:35,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:36,436,2.15E+00,2.04E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:36,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:37,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:38,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:39,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:41,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:42,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:42,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:44,436,2.15E+00,2.04E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:44,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:45,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:46,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:47,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:49,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:49,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:50,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:51,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:52,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:54,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:54,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:55,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:56,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:58,438,2.16E+00,2.13E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:48:58,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:00,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:00,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:01,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:02,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:04,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:05,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:05,436,2.15E+00,2.04E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:06,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:07,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:09,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:10,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:11,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:11,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:13,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:14,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:15,438,2.16E+00,2.13E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-14,15:49:16,437,2.16E+00,2.08E-07,NaN,NaN,NaN,"IG on, CG off"
