date,time,ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags
2025-07-18,15:18:13,435,2.15E+00,1.99E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:18:14,435,2.15E+00,1.99E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:12,446,2.20E+00,2.56E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,15:20:13,445,2.20E+00,2.50E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:15,438,2.16E+00,2.13E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,15:20:16,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:20,440,2.17E+00,2.23E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,15:20:22,442,2.18E+00,2.33E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,15:20:23,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:24,442,2.18E+00,2.33E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:25,441,2.18E+00,2.28E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:28,443,2.19E+00,2.39E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,15:20:29,443,2.19E+00,2.39E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:30,440,2.17E+00,2.23E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:31,446,2.20E+00,2.56E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,15:20:32,442,2.18E+00,2.33E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:33,440,2.17E+00,2.23E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:34,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:35,436,2.15E+00,2.04E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,15:20:48,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:20:49,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:21:16,439,2.17E+00,2.18E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:21:18,436,2.15E+00,2.04E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:21:20,440,2.17E+00,2.23E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:21:23,436,2.15E+00,2.04E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:22:56,440,2.17E+00,2.23E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:22:57,441,2.18E+00,2.28E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:22:58,438,2.16E+00,2.13E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:22:59,445,2.20E+00,2.50E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:00,439,2.17E+00,2.18E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:01,440,2.17E+00,2.23E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:02,447,2.21E+00,2.62E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:03,437,2.16E+00,2.08E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:04,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:05,440,2.17E+00,2.23E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:07,443,2.19E+00,2.39E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:08,459,2.27E+00,3.44E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:09,457,2.26E+00,3.28E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:10,456,2.25E+00,3.21E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:11,452,2.23E+00,2.93E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:12,440,2.17E+00,2.23E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:13,441,2.18E+00,2.28E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:14,452,2.23E+00,2.93E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:15,457,2.26E+00,3.28E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:16,443,2.19E+00,2.39E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:17,438,2.16E+00,2.13E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:18,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:19,448,2.21E+00,2.68E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:20,460,2.27E+00,3.52E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,15:23:21,458,2.26E+00,3.36E-07,194,9.59E-01,1.03E-03,"IG on, CG on, gate manipulation"
2025-07-18,15:23:22,475,2.35E+00,4.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,15:23:23,448,2.21E+00,2.68E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,15:23:24,442,2.18E+00,2.33E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:25,439,2.17E+00,2.18E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-18,15:23:26,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
