date,time,ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags
2025-07-18,16:30:27,436,2.15E+00,2.04E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:30:28,436,2.15E+00,2.04E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:44,449,2.22E+00,2.74E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:45,466,2.30E+00,4.03E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:30:46,443,2.19E+00,2.39E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:30:47,449,2.22E+00,2.74E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:48,441,2.18E+00,2.28E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:49,438,2.16E+00,2.13E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:51,442,2.18E+00,2.33E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:52,446,2.20E+00,2.56E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:54,439,2.17E+00,2.18E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:55,442,2.18E+00,2.33E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:57,445,2.20E+00,2.50E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:30:59,447,2.21E+00,2.62E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:01,443,2.19E+00,2.39E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:07,440,2.17E+00,2.23E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:11,445,2.20E+00,2.50E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:12,444,2.19E+00,2.44E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:13,451,2.23E+00,2.86E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:14,457,2.26E+00,3.28E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:31:15,454,2.24E+00,3.07E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:16,451,2.23E+00,2.86E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:17,437,2.16E+00,2.08E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:18,485,2.40E+00,6.21E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:31:19,449,2.22E+00,2.74E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:20,438,2.16E+00,2.13E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:21,436,2.15E+00,2.04E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:22,441,2.18E+00,2.28E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:23,436,2.15E+00,2.04E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:24,435,2.15E+00,1.99E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:25,433,2.14E+00,1.90E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:26,451,2.23E+00,2.86E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:27,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:28,435,2.15E+00,1.99E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:29,461,2.28E+00,3.60E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:31:30,440,2.17E+00,2.23E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:31,436,2.15E+00,2.04E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:32,462,2.28E+00,3.68E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:31:33,470,2.32E+00,4.41E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:31:34,444,2.19E+00,2.44E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:35,438,2.16E+00,2.13E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:36,464,2.29E+00,3.85E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:37,443,2.19E+00,2.39E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:38,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:39,493,2.44E+00,7.45E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:31:40,459,2.27E+00,3.44E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:41,443,2.19E+00,2.39E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:42,440,2.17E+00,2.23E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:43,438,2.16E+00,2.13E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:44,437,2.16E+00,2.08E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:45,479,2.37E+00,5.42E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:31:46,448,2.21E+00,2.68E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:47,440,2.17E+00,2.23E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:48,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:49,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:50,461,2.28E+00,3.60E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:31:51,443,2.19E+00,2.39E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:52,438,2.16E+00,2.13E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:31:53,437,2.16E+00,2.08E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:31:59,465,2.30E+00,3.94E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:32:00,445,2.20E+00,2.50E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:01,439,2.17E+00,2.18E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:02,475,2.35E+00,4.95E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:32:03,449,2.22E+00,2.74E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:04,440,2.17E+00,2.23E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:05,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:06,468,2.31E+00,4.22E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:32:07,458,2.26E+00,3.36E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:08,444,2.19E+00,2.44E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:09,447,2.21E+00,2.62E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:10,439,2.17E+00,2.18E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:11,438,2.16E+00,2.13E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:12,459,2.27E+00,3.44E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:32:13,443,2.19E+00,2.39E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:14,486,2.40E+00,6.35E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:32:15,450,2.22E+00,2.80E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:16,442,2.18E+00,2.33E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:17,440,2.17E+00,2.23E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:18,462,2.28E+00,3.68E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:32:19,443,2.19E+00,2.39E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:20,440,2.17E+00,2.23E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:21,450,2.22E+00,2.80E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:22,443,2.19E+00,2.39E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:23,438,2.16E+00,2.13E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:24,437,2.16E+00,2.08E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:26,440,2.17E+00,2.23E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:27,436,2.15E+00,2.04E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:28,435,2.15E+00,1.99E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:41,436,2.15E+00,2.04E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:32:42,433,2.14E+00,1.90E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:32:43,433,2.14E+00,1.90E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:34:18,430,2.12E+00,1.78E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:19,480,2.37E+00,5.54E-07,194,9.59E-01,1.03E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:20,486,2.40E+00,6.35E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:21,446,2.20E+00,2.56E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:22,486,2.40E+00,6.35E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:23,454,2.24E+00,3.07E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:24,450,2.22E+00,2.80E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:25,479,2.37E+00,5.42E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:26,470,2.32E+00,4.41E-07,194,9.59E-01,1.03E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:27,492,2.43E+00,7.28E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:28,487,2.41E+00,6.50E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:29,487,2.41E+00,6.50E-07,194,9.59E-01,1.03E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:30,537,2.65E+00,2.03E-06,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:31,493,2.44E+00,7.45E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:32,463,2.29E+00,3.76E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:34:33,451,2.23E+00,2.86E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:34,452,2.23E+00,2.93E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:35,448,2.21E+00,2.68E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:36,449,2.22E+00,2.74E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:37,454,2.24E+00,3.07E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:38,471,2.33E+00,4.52E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:34:39,449,2.22E+00,2.74E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:40,445,2.20E+00,2.50E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:41,469,2.32E+00,4.32E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:34:42,497,2.46E+00,8.16E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:34:43,501,2.48E+00,8.94E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:44,502,2.48E+00,9.14E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:45,492,2.43E+00,7.28E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:46,475,2.35E+00,4.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:47,479,2.37E+00,5.42E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:48,491,2.43E+00,7.12E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:49,463,2.29E+00,3.76E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:50,470,2.32E+00,4.41E-07,192,9.49E-01,9.83E-04,"IG on, CG on, gate manipulation"
2025-07-18,16:34:51,469,2.32E+00,4.32E-07,193,9.54E-01,1.01E-03,"IG on, CG on, gate manipulation"
2025-07-18,16:34:52,460,2.27E+00,3.52E-07,192,9.49E-01,9.83E-04,"IG on, CG on"
2025-07-18,16:34:53,450,2.22E+00,2.80E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:54,448,2.21E+00,2.68E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-18,16:34:55,447,2.21E+00,2.62E-07,193,9.54E-01,1.01E-03,"IG on, CG on, CG turn off"
2025-07-18,16:35:49,442,2.18E+00,2.33E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:38:51,439,2.17E+00,2.18E-07,971,4.80E+00,1.19E+05,"IG on, CG turn on"
2025-07-18,16:38:52,439,2.17E+00,2.18E-07,971,4.80E+00,1.19E+05,"IG on, CG turn on"
2025-07-18,16:38:53,439,2.17E+00,2.18E-07,218,1.08E+00,1.83E-03,"IG on, CG on"
2025-07-18,16:38:54,438,2.16E+00,2.13E-07,195,9.64E-01,1.06E-03,"IG on, CG on"
2025-07-18,16:38:55,438,2.16E+00,2.13E-07,195,9.64E-01,1.06E-03,"IG on, CG on"
2025-07-18,16:48:08,444,2.19E+00,2.44E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:09,452,2.23E+00,2.93E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:10,442,2.18E+00,2.33E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:11,441,2.18E+00,2.28E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:13,439,2.17E+00,2.18E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:14,438,2.16E+00,2.13E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:15,441,2.18E+00,2.28E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:16,441,2.18E+00,2.28E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:17,449,2.22E+00,2.74E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:18,452,2.23E+00,2.93E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:19,460,2.27E+00,3.52E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:20,462,2.28E+00,3.68E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:21,454,2.24E+00,3.07E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:22,455,2.25E+00,3.14E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:23,444,2.19E+00,2.44E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:24,448,2.21E+00,2.68E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:25,470,2.32E+00,4.41E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:26,450,2.22E+00,2.80E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:27,442,2.18E+00,2.33E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:28,441,2.18E+00,2.28E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:29,462,2.28E+00,3.68E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:30,441,2.18E+00,2.28E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:31,475,2.35E+00,4.95E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:32,446,2.20E+00,2.56E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:33,440,2.17E+00,2.23E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:34,461,2.28E+00,3.60E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:35,473,2.34E+00,4.73E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:36,491,2.43E+00,7.12E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:37,460,2.27E+00,3.52E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:38,470,2.32E+00,4.41E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:39,457,2.26E+00,3.28E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:40,467,2.31E+00,4.12E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:41,470,2.32E+00,4.41E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:43,483,2.39E+00,5.93E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:44,494,2.44E+00,7.62E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:45,489,2.42E+00,6.80E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:46,496,2.45E+00,7.98E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:47,513,2.53E+00,1.17E-06,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:48,473,2.34E+00,4.73E-07,NaN,NaN,NaN,"IG on, CG off, gate manipulation"
2025-07-18,16:48:49,454,2.24E+00,3.07E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:50,450,2.22E+00,2.80E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:51,448,2.21E+00,2.68E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:48:52,447,2.21E+00,2.62E-07,NaN,NaN,NaN,"IG on, CG off"
2025-07-18,16:49:05,445,2.20E+00,2.50E-07,1023,5.06E+00,4.13E+05,"IG on, CG turn on"
