date,time,ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags
2025-07-28,15:54:23,432,2.13E+00,1.86E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-28,15:54:24,432,2.13E+00,1.86E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-28,20:57:38,434,2.14E+00,1.95E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-28,21:17:40,434,2.14E+00,1.95E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-28,21:22:28,432,2.13E+00,1.86E-07,231,1.14E+00,2.49E-03,"IG on, CG on"
2025-07-28,21:22:29,432,2.13E+00,1.86E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-28,21:22:30,432,2.13E+00,1.86E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-29,9:09:35,432,2.13E+00,1.86E-07,250,1.24E+00,3.93E-03,"IG on, CG on"
2025-07-29,9:09:36,433,2.14E+00,1.90E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-29,9:09:37,432,2.13E+00,1.86E-07,194,9.59E-01,1.03E-03,"IG on, CG on"
2025-07-30,9:10:00,431,2.13E+00,1.82E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-07-31,9:10:23,431,2.13E+00,1.82E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-08-01,0:14:33,431,2.13E+00,1.82E-07,252,1.25E+00,4.12E-03,"IG on, CG on"
2025-08-01,0:14:34,431,2.13E+00,1.82E-07,193,9.54E-01,1.01E-03,"IG on, CG on"
2025-08-01,0:14:35,431,2.13E+00,1.82E-07,193,9.54E-01,1.01E-03,"IG on, CG on, IG fail"
2025-08-01,1:18:47,NaN,NaN,NaN,193,9.54E-01,1.01E-03,"IG fail, IG off, CG on"
2025-08-01,2:45:49,NaN,NaN,NaN,207,1.02E+00,1.41E-03,"IG off, CG on"
